Pitch,Category,Strategy,Problem/Solution,Market,Traction,Business model,Team,Competition,Projections,Viability Score,avg,multiplication factor,P,M,T,B,A,C,O
We're making it easier for people to get around in cities.,Mobility,Platform + Local Partnerships,7.77385,6.21908,4.66431,6.21908,4.66431,3.10954,3.10954,5.108529658,5.10853,1,7.77385,6.21908,4.66431,6.21908,4.66431,3.10954,3.10954
We're helping businesses connect with their customers in a more personal way.,Social Impact,Platform + Local Partnerships,7.678326183,7.678326183,9.597907729,6.71853541,6.71853541,4.798953865,4.798953865,6.855648378,7.142857143,0.959790773,8,8,10,7,7,5,5
"We're providing access to quality education for everyone, regardless of their location.",EdTech,Freemium + B2C Outreach,6.744564355,6.744564355,6.997485518,5.817186756,6.491643192,4.468273885,4.55258094,5.973757,7.085714286,0.843070544,8,8,8.3,6.9,7.7,5.3,5.4
We're not just selling software; we're selling peace of mind.,SaaS,General Tech Outreach,8.869446162,9.978126933,8.869446162,7.760765392,9.978126933,4.434723081,4.434723081,7.760765392,7,1.10868077,8,9,8,7,9,4,4
We're building a world where everyone has access to clean energy.,Social Impact,Platform + Local Partnerships,7.451959611,7.451959611,9.314949514,6.52046466,6.52046466,4.657474757,4.657474757,6.653535367,7.142857143,0.931494951,8,8,10,7,7,5,5
We're empowering individuals to achieve their full potential through personalized learning,EdTech,Freemium + B2C Outreach,6.654867515,6.654867515,6.904425047,5.739823232,6.405309984,4.408849729,4.492035573,5.894311228,7.085714286,0.831858439,8,8,8.3,6.9,7.7,5.3,5.4
We're creating a more sustainable future for generations to come.,GreenTech,Platform + Local Partnerships,5.865812904,5.865812904,6.085780887,5.059263629,5.64584492,3.886101049,3.95942371,5.195434286,7.085714286,0.733226613,8,8,8.3,6.9,7.7,5.3,5.4
It just works.,Others,General Tech Outreach,3.739539743,3.64605125,3.833028237,3.178608782,3.599307003,2.570933573,2.664422067,3.318841522,7.1,0.467442468,8,7.8,8.2,6.8,7.7,5.5,5.7
Software is eating the world.,SaaS,Subscription + Enterprise Sales,7.971400681,8.967825766,7.971400681,6.974975596,8.967825766,3.985700341,3.985700341,6.974975596,7,0.996425085,8,9,8,7,9,4,4
A computer on every desk and in every home.,Others,General Tech Outreach,7.028407154,6.852696975,7.204117333,5.974146081,6.764841886,4.832029918,5.007740097,6.237711349,7.1,0.878550894,8,7.8,8.2,6.8,7.7,5.5,5.7
making sustainable energy a reality,GreenTech,General Tech Outreach,5.09052614,5.09052614,5.28142087,4.390578796,4.89963141,3.372473568,3.436105145,4.508751724,7.085714286,0.636315768,8,8,8.3,6.9,7.7,5.3,5.4
Everyone's private driver.,Others,Freemium + B2C Outreach,3.440804924,3.354784801,3.526825047,2.924684185,3.311774739,2.365553385,2.451573508,3.05371437,7.1,0.430100615,8,7.8,8.2,6.8,7.7,5.5,5.7
"A swipe-based, frictionless way to meet people. Simple, addictive, and easy to grasp.",Others,Freemium + B2C Outreach,8.4,8.4,8.4,6.3,6.3,4.2,4.2,6.6,6.285714286,1.05,8,8,8,6,6,4,4
Cloud-based video collaboration platform for the workplace.,SaaS,Subscription + Enterprise Sales,9.333333333,9.333333333,9.333333333,7,9.333333333,2.333333333,2.333333333,7,6,1.166666667,8,8,8,6,8,2,2
"Simplify your social media, amplify your impact.",Social Impact,Subscription + Enterprise Sales,7.933333333,7.933333333,9.916666667,7.933333333,5.95,3.966666667,3.966666667,6.8,6.857142857,0.991666667,8,8,10,8,6,4,4
An affordable electric vehicle charging solution for multi-unit properties.,Mobility,Platform + Local Partnerships,8.4,8.4,6.3,8.4,6.3,4.2,4.2,6.6,6.285714286,1.05,8,8,6,8,6,4,4
"Securing your digital world, one link at a time, by stopping malicious content before it reaches your users.",Others,Subscription + Enterprise Sales,8.4,6.3,4.2,6.3,8.4,4.2,4.2,6,5.714285714,1.05,8,6,4,6,8,4,4
Where the visualization facets of each project can guide you to a better decision-making.,Others,Subscription + Enterprise Sales,8.842105263,6.631578947,4.421052632,4.421052632,8.842105263,4.421052632,4.421052632,6,5.428571429,1.105263158,8,6,4,4,8,4,4
Innovative Healthcare Solutions for Tommorow.,HealthTech,SaaS + Automation,8.112515773,8.112515773,8.416735114,6.997044854,7.808296431,5.374541699,5.475948147,7.185371113,7.085714286,1.014064472,8,8,8.3,6.9,7.7,5.3,5.4
"Empowering Minds, Connecting Future.",Others,SaaS + Automation,1.815107399,1.769729714,1.860485084,1.54284129,1.747040872,1.247886337,1.293264022,1.610907817,7.1,0.226888425,8,7.8,8.2,6.8,7.7,5.5,5.7
The next generation of publishing.,Others,General Tech Outreach,8.615384615,8.615384615,10.76923077,6.461538462,8.615384615,6.461538462,6.461538462,8,7.428571429,1.076923077,8,8,10,6,8,6,6
Unleash the power of video to drive your buisness forward.,Others,SaaS + Automation,8.4,6.3,6.3,4.2,8.4,4.2,4.2,6,5.714285714,1.05,8,6,6,4,8,4,4
"Simplifying equity management for private companies, from startup to IPO.",Others,Subscription + Enterprise Sales,8.296296296,8.296296296,10.37037037,8.296296296,6.222222222,6.222222222,8.296296296,8,7.714285714,1.037037037,8,8,10,8,6,6,8
All your company's external communications in one collaborative inbox.,Others,Subscription + Enterprise Sales,8.4,8.4,8.4,8.4,8.4,6.3,6.3,7.8,7.428571429,1.05,8,8,8,8,8,6,6
Flipside Crypto delivers crucial business intelligence to help crypto business grow.,Social Impact,Subscription + Enterprise Sales,7.969230769,7.969230769,9.961538462,5.976923077,7.969230769,5.976923077,5.976923077,7.4,7.428571429,0.996153846,8,8,10,6,8,6,6
Revolutionizing solutions for your business.,Others,Subscription + Enterprise Sales,8.088888889,8.088888889,10.11111111,8.088888889,8.088888889,6.066666667,6.066666667,7.8,7.714285714,1.011111111,8,8,10,8,8,6,6
"Reimagining finance for startups and scaling companies, offering a comprehensive financial OS with integrated cards, spend management, and banking solutions",FinTech,Subscription + Enterprise Sales,8.2,8.2,10.25,8.2,10.25,6.15,6.15,8.2,8,1.025,8,8,10,8,10,6,6
Number 1 marketing data integration solution in the world.,Others,Subscription + Enterprise Sales,8.4,8.4,10.5,8.4,6.3,6.3,6.3,7.8,7.428571429,1.05,8,8,10,8,6,6,6
Your network is bigger than you think.,Others,SaaS + Automation,8.615384615,8.615384615,8.615384615,6.461538462,10.76923077,6.461538462,6.461538462,8,7.428571429,1.076923077,8,8,8,6,10,6,6
109%  net dollar retention is the new the standard.,Others,Subscription + Enterprise Sales,8.2,10.25,10.25,8.2,8.2,6.15,6.15,8.2,8,1.025,8,10,10,8,8,6,6
"Square, The simplest way to make money",FinTech,General Tech Outreach,8.303448276,10.37931034,10.37931034,8.303448276,10.37931034,6.227586207,6.227586207,8.6,8.285714286,1.037931034,8,10,10,8,10,6,6
"Powering over a million businesses worldwide, making commerce easy for everyone.",Others,Subscription + Enterprise Sales,8.309677419,10.38709677,10.38709677,10.38709677,8.309677419,8.309677419,8.309677419,9.2,8.857142857,1.038709677,8,10,10,10,8,8,8
Drive the Future. Electrify Your World. Platform for broader market apportunity,SaaS,Platform + Local Partnerships,8.6,10.75,8.6,8.6,10.75,6.45,6.45,8.6,8,1.075,8,10,8,8,10,6,6
An app for everything.,Others,Freemium + B2C Outreach,3.864303424,3.767695839,3.96091101,3.284657911,3.719392046,2.656708604,2.75331619,3.429569289,7.1,0.483037928,8,7.8,8.2,6.8,7.7,5.5,5.7
A startup that sells motivation.,Others,Freemium + B2C Outreach,1.355000593,1.321125578,1.388875607,1.151750504,1.30418807,0.931562907,0.965437922,1.202563026,7.1,0.169375074,8,7.8,8.2,6.8,7.7,5.5,5.7
Changing the world with coffee.,Others,Platform + Local Partnerships,2.120039621,2.067038631,2.173040612,1.802033678,2.040538136,1.45752724,1.51052823,1.881535164,7.1,0.265004953,8,7.8,8.2,6.8,7.7,5.5,5.7
The Uber of thoughts.,Others,SaaS + Automation,1.509802267,1.47205721,1.547547324,1.283331927,1.453184682,1.037989059,1.075734115,1.339949512,7.1,0.188725283,8,7.8,8.2,6.8,7.7,5.5,5.7
A platform that connects dreams.,Others,Platform + Local Partnerships,3.365863163,3.281716584,3.450009742,2.860983688,3.239643294,2.314030924,2.398177504,2.987203557,7.1,0.420732895,8,7.8,8.2,6.8,7.7,5.5,5.7
We just do things better.,Others,Viral / Meme-Driven Growth,2.789137456,2.719409019,2.858865892,2.370766837,2.684544801,1.917532001,1.987260437,2.475359492,7.1,0.348642182,8,7.8,8.2,6.8,7.7,5.5,5.7
Something nobody else understands yet.,Others,Viral / Meme-Driven Growth,3.223089182,3.142511952,3.303666412,2.739625805,3.102223338,2.215873813,2.296451042,2.860491649,7.1,0.402886148,8,7.8,8.2,6.8,7.7,5.5,5.7
We bring value to value.,Others,Viral / Meme-Driven Growth,1.724831438,1.681710652,1.767952224,1.466106722,1.660150259,1.185821613,1.228942399,1.530787901,7.1,0.21560393,8,7.8,8.2,6.8,7.7,5.5,5.7
"AI, but for feelings.",Others,SaaS + Automation,1.681744072,1.63970047,1.723787674,1.429482461,1.618678669,1.15619905,1.198242651,1.492547864,7.1,0.210218009,8,7.8,8.2,6.8,7.7,5.5,5.7
Blockchain-based soda dispenser.,Others,Viral / Meme-Driven Growth,1.969708685,1.920465968,2.018951402,1.674252382,1.895844609,1.354174721,1.403417438,1.748116458,7.1,0.246213586,8,7.8,8.2,6.8,7.7,5.5,5.7
We help you feel more like you.,Others,SaaS + Automation,3.050124336,2.973871227,3.126377444,2.592605685,2.935744673,2.096960481,2.173213589,2.706985348,7.1,0.381265542,8,7.8,8.2,6.8,7.7,5.5,5.7
A new way to do nothing.,Others,Viral / Meme-Driven Growth,3.205419876,3.125284379,3.285555373,2.724606895,3.085216631,2.203726165,2.283861662,2.84481014,7.1,0.400677485,8,7.8,8.2,6.8,7.7,5.5,5.7
We organize disorganization.,Others,SaaS + Automation,1.564227762,1.525122068,1.603333456,1.329593598,1.505569221,1.075406587,1.114512281,1.388252139,7.1,0.19552847,8,7.8,8.2,6.8,7.7,5.5,5.7
The cloud of your thoughts.,Others,SaaS + Automation,3.026554336,2.950890477,3.102218194,2.572571185,2.913058548,2.080756106,2.156419964,2.686066973,7.1,0.378319292,8,7.8,8.2,6.8,7.7,5.5,5.7
An NFT-powered resume writer.,Others,Viral / Meme-Driven Growth,2.490778137,2.428508684,2.553047591,2.117161417,2.397373957,1.71240997,1.774679423,2.210565597,7.1,0.311347267,8,7.8,8.2,6.8,7.7,5.5,5.7
Google for your brain.,Others,SaaS + Automation,3.523219506,3.435139019,3.611299994,2.994736581,3.391098775,2.422213411,2.510293898,3.126857312,7.1,0.440402438,8,7.8,8.2,6.8,7.7,5.5,5.7
A marketplace for daily ideas.,Others,Viral / Meme-Driven Growth,3.900742897,3.803224324,3.998261469,3.315631462,3.754465038,2.681760742,2.779279314,3.461909321,7.1,0.487592862,8,7.8,8.2,6.8,7.7,5.5,5.7
We make memes investable.,Others,Viral / Meme-Driven Growth,3.277304553,3.195371939,3.359237167,2.78570887,3.154405632,2.25314688,2.335079494,2.908607791,7.1,0.409663069,8,7.8,8.2,6.8,7.7,5.5,5.7
Quantum pizza delivery.,Others,Viral / Meme-Driven Growth,2.391102334,2.331324775,2.450879892,2.032436983,2.301435996,1.643882854,1.703660413,2.122103321,7.1,0.298887792,8,7.8,8.2,6.8,7.7,5.5,5.7
Helping influencers influence better.,Others,Freemium + B2C Outreach,2.542741051,2.479172525,2.606309578,2.161329894,2.447388262,1.748134473,1.811702999,2.256682683,7.1,0.317842631,8,7.8,8.2,6.8,7.7,5.5,5.7
AI that learns from your pet.,Others,SaaS + Automation,1.136315546,1.107907657,1.164723435,0.965868214,1.093703713,0.781216938,0.809624826,1.008480047,7.1,0.142039443,8,7.8,8.2,6.8,7.7,5.5,5.7
"We make everything smarter, somehow.",Others,Subscription + Enterprise Sales,2.996401798,2.921491753,3.071311843,2.546941529,2.884036731,2.060026236,2.134936281,2.659306596,7.1,0.374550225,8,7.8,8.2,6.8,7.7,5.5,5.7
Connecting minds. Literally.,Others,Platform + Local Partnerships,1.796697644,1.751780203,1.841615085,1.527192997,1.729321482,1.23522963,1.280147071,1.594569159,7.1,0.224587205,8,7.8,8.2,6.8,7.7,5.5,5.7
Your soul's favorite app.,Others,Freemium + B2C Outreach,3.893334193,3.796000838,3.990667547,3.309334064,3.74733416,2.676667257,2.774000612,3.455334096,7.1,0.486666774,8,7.8,8.2,6.8,7.7,5.5,5.7
Smart air for smarter people.,Others,Viral / Meme-Driven Growth,1.160554865,1.131540994,1.189568737,0.986471636,1.117034058,0.79788147,0.826895342,1.029992443,7.1,0.145069358,8,7.8,8.2,6.8,7.7,5.5,5.7
